treatment,sucra
Atalanta,0.7065447368421054
Bologna,0.5736986842105264
Cremonese,0.1643453947368421
Empoli,0.35107631578947374
Fiorentina,0.6469592105263159
Inter,0.7854298611111113
Juventus,0.7768230263157896
Lazio,0.8192916666666666
Lecce,0.3213164473684211
Milan,0.7431657894736841
Monza,0.46304934210526316
Napoli,0.8873890625000002
Roma,0.6569565789473684
Salernitana,0.3504453947368421
Sampdoria,0.05886484374999999
Sassuolo,0.34812697368421053
Spezia,0.15948402777777776
Torino,0.5073052631578948
Udinese,0.4909960526315789
Verona,0.16783355263157895
